WallArea,RoofArea,OverallHeight,GlazingArea,HeatingLoad
0.285714285714286,0,7,0,15.55
0.285714285714286,0,7,0,15.55
0.285714285714286,0,7,0,15.55
0.285714285714286,0,7,0,15.55
0.428571428571429,0.111111111111111,7,0,20.84
0.428571428571429,0.111111111111111,7,0,21.46
0.428571428571429,0.111111111111111,7,0,20.71
0.428571428571429,0.111111111111111,7,0,19.68
0.285714285714286,0.333333333333333,7,0,19.5
0.285714285714286,0.333333333333333,7,0,19.95
0.285714285714286,0.333333333333333,7,0,19.34
0.285714285714286,0.333333333333333,7,0,18.31
0.428571428571429,0.333333333333333,7,0,17.05
0.428571428571429,0.333333333333333,7,0,17.41
0.428571428571429,0.333333333333333,7,0,16.95
0.428571428571429,0.333333333333333,7,0,15.98
0.571428571428571,0.333333333333333,7,0,28.52
0.571428571428571,0.333333333333333,7,0,29.9
0.571428571428571,0.333333333333333,7,0,29.63
0.571428571428571,0.333333333333333,7,0,28.75
1,0.111111111111111,7,0,24.77
1,0.111111111111111,7,0,23.93
1,0.111111111111111,7,0,24.77
1,0.111111111111111,7,0,23.93
0,1,3.5,0,6.07
0,1,3.5,0,6.05
0,1,3.5,0,6.01
0,1,3.5,0,6.04
0.142857142857143,1,3.5,0,6.37
0.142857142857143,1,3.5,0,6.4
0.142857142857143,1,3.5,0,6.37
0.142857142857143,1,3.5,0,6.4
0.285714285714286,1,3.5,0,6.85
0.285714285714286,1,3.5,0,6.79
0.285714285714286,1,3.5,0,6.77
0.285714285714286,1,3.5,0,6.81
0.428571428571429,1,3.5,0,7.18
0.428571428571429,1,3.5,0,7.1
0.428571428571429,1,3.5,0,7.1
0.428571428571429,1,3.5,0,7.1
0.571428571428571,1,3.5,0,10.85
0.571428571428571,1,3.5,0,10.54
0.571428571428571,1,3.5,0,10.77
0.571428571428571,1,3.5,0,10.56
0.714285714285714,1,3.5,0,8.6
0.714285714285714,1,3.5,0,8.49
0.714285714285714,1,3.5,0,8.45
0.714285714285714,1,3.5,0,8.5
0.285714285714286,0,7,0.25,24.58
0.285714285714286,0,7,0.25,24.63
0.285714285714286,0,7,0.25,24.63
0.285714285714286,0,7,0.25,24.59
0.428571428571429,0.111111111111111,7,0.25,29.03
0.428571428571429,0.111111111111111,7,0.25,29.87
0.428571428571429,0.111111111111111,7,0.25,29.14
0.428571428571429,0.111111111111111,7,0.25,28.09
0.285714285714286,0.333333333333333,7,0.25,26.28
0.285714285714286,0.333333333333333,7,0.25,26.91
0.285714285714286,0.333333333333333,7,0.25,26.37
0.285714285714286,0.333333333333333,7,0.25,25.27
0.428571428571429,0.333333333333333,7,0.25,23.53
0.428571428571429,0.333333333333333,7,0.25,24.03
0.428571428571429,0.333333333333333,7,0.25,23.54
0.428571428571429,0.333333333333333,7,0.25,22.58
0.571428571428571,0.333333333333333,7,0.25,35.56
0.571428571428571,0.333333333333333,7,0.25,37.12
0.571428571428571,0.333333333333333,7,0.25,36.9
0.571428571428571,0.333333333333333,7,0.25,35.94
1,0.111111111111111,7,0.25,32.96
1,0.111111111111111,7,0.25,32.12
1,0.111111111111111,7,0.25,32.94
1,0.111111111111111,7,0.25,32.21
0,1,3.5,0.25,10.36
0,1,3.5,0.25,10.43
0,1,3.5,0.25,10.36
0,1,3.5,0.25,10.39
